R0,natural_cross_immunity,vaccine_timing,vaccine_coverage,vaccine_cross_immunity,emergences,trials
4,0.25,-90,0.6666666666666666,0.05,2201,5000
5,0.25,-90,0.6666666666666666,0.05,2544,5000
6,0.25,-90,0.6666666666666666,0.05,2895,5000
2,0.5,-90,0.6666666666666666,0.05,354,5000
3,0.5,-90,0.6666666666666666,0.05,1139,5000
4,0.5,-90,0.6666666666666666,0.05,1825,5000
5,0.5,-90,0.6666666666666666,0.05,2281,5000
5,1.0,90,0.0416666666666666,0.05,606,5000
6,0.5,-90,0.6666666666666666,0.05,2632,5000
2,0.75,-90,0.6666666666666666,0.05,43,5000
3,0.75,-90,0.6666666666666666,0.05,572,5000
4,0.75,-90,0.6666666666666666,0.05,1202,5000
5,0.75,-90,0.6666666666666666,0.05,1729,5000
6,0.75,-90,0.6666666666666666,0.05,2224,5000
2,1.0,-90,0.6666666666666666,0.05,0,5000
3,1.0,-90,0.6666666666666666,0.05,8,5000
4,1.0,-90,0.6666666666666666,0.05,239,5000
5,1.0,-90,0.6666666666666666,0.05,732,5000
6,1.0,90,0.0416666666666666,0.05,1096,5000
6,1.0,-90,0.6666666666666666,0.05,1220,5000
2,0.0,-60,0.6666666666666666,0.05,1035,5000
3,0.0,-60,0.6666666666666666,0.05,1935,5000
4,0.0,-60,0.6666666666666666,0.05,2385,5000
5,0.0,-60,0.6666666666666666,0.05,2735,5000
6,0.0,-60,0.6666666666666666,0.05,3065,5000
2,0.25,-60,0.6666666666666666,0.05,712,5000
3,0.25,-60,0.6666666666666666,0.05,1540,5000
4,0.25,-60,0.6666666666666666,0.05,2221,5000
5,0.25,-60,0.6666666666666666,0.05,2640,5000
2,0.0,120,0.0416666666666666,0.05,1022,5000
6,0.25,-60,0.6666666666666666,0.05,2871,5000
2,0.5,-60,0.6666666666666666,0.05,371,5000
3,0.5,-60,0.6666666666666666,0.05,1158,5000
4,0.5,-60,0.6666666666666666,0.05,1795,5000
5,0.5,-60,0.6666666666666666,0.05,2282,5000
6,0.5,-60,0.6666666666666666,0.05,2635,5000
2,0.75,-60,0.6666666666666666,0.05,46,5000
3,0.75,-60,0.6666666666666666,0.05,613,5000
4,0.75,-60,0.6666666666666666,0.05,1274,5000
5,0.75,-60,0.6666666666666666,0.05,1810,5000
3,0.0,120,0.0416666666666666,0.05,1935,5000
6,0.75,-60,0.6666666666666666,0.05,2210,5000
2,1.0,-60,0.6666666666666666,0.05,0,5000
3,1.0,-60,0.6666666666666666,0.05,6,5000
4,1.0,-60,0.6666666666666666,0.05,265,5000
5,1.0,-60,0.6666666666666666,0.05,824,5000
6,1.0,-60,0.6666666666666666,0.05,1317,5000
2,0.0,-30,0.6666666666666666,0.05,1017,5000
3,0.0,-30,0.6666666666666666,0.05,1953,5000
4,0.0,-30,0.6666666666666666,0.05,2425,5000
5,0.0,-30,0.6666666666666666,0.05,2763,5000
4,0.0,120,0.0416666666666666,0.05,2383,5000
6,0.0,-30,0.6666666666666666,0.05,3057,5000
2,0.25,-30,0.6666666666666666,0.05,741,5000
3,0.25,-30,0.6666666666666666,0.05,1634,5000
4,0.25,-30,0.6666666666666666,0.05,2221,5000
5,0.25,-30,0.6666666666666666,0.05,2632,5000
6,0.25,-30,0.6666666666666666,0.05,2835,5000
2,0.5,-30,0.6666666666666666,0.05,393,5000
3,0.5,-30,0.6666666666666666,0.05,1183,5000
4,0.5,-30,0.6666666666666666,0.05,1811,5000
5,0.5,-30,0.6666666666666666,0.05,2302,5000
5,0.0,120,0.0416666666666666,0.05,2775,5000
6,0.5,-30,0.6666666666666666,0.05,2593,5000
2,0.75,-30,0.6666666666666666,0.05,37,5000
3,0.75,-30,0.6666666666666666,0.05,620,5000
4,0.75,-30,0.6666666666666666,0.05,1231,5000
5,0.75,-30,0.6666666666666666,0.05,1772,5000
