R0,natural_cross_immunity,vaccine_timing,vaccine_coverage,vaccine_cross_immunity,group,emergences,trials
4,0.25,210,0.5416666666666666,0.25,18,26,50
5,0.25,210,0.5416666666666666,0.25,18,30,50
6,0.25,210,0.5416666666666666,0.25,18,32,50
2,0.5,210,0.5416666666666666,0.5,18,9,50
3,0.5,210,0.5416666666666666,0.5,18,19,50
4,0.5,210,0.5416666666666666,0.5,18,30,50
5,0.5,210,0.5416666666666666,0.5,18,32,50
6,0.5,210,0.5416666666666666,0.5,18,34,50
2,0.75,210,0.5416666666666666,0.75,18,8,50
3,0.75,210,0.5416666666666666,0.75,18,17,50
4,0.75,210,0.5416666666666666,0.75,18,29,50
5,0.75,210,0.5416666666666666,0.75,18,35,50
6,0.75,210,0.5416666666666666,0.75,18,31,50
2,1,210,0.5416666666666666,1,18,8,50
3,1,210,0.5416666666666666,1,18,23,50
4,1,210,0.5416666666666666,1,18,20,50
5,1,210,0.5416666666666666,1,18,32,50
6,1,210,0.5416666666666666,1,18,34,50
2,0,240,0.5416666666666666,0,18,11,50
3,0,240,0.5416666666666666,0,18,24,50
4,0,240,0.5416666666666666,0,18,21,50
5,0,240,0.5416666666666666,0,18,26,50
6,0,240,0.5416666666666666,0,18,33,50
2,0.25,240,0.5416666666666666,0.25,18,13,50
3,0.25,240,0.5416666666666666,0.25,18,21,50
4,0.25,240,0.5416666666666666,0.25,18,23,50
5,0.25,240,0.5416666666666666,0.25,18,29,50
6,0.25,240,0.5416666666666666,0.25,18,33,50
2,0.5,240,0.5416666666666666,0.5,18,11,50
3,0.5,240,0.5416666666666666,0.5,18,19,50
4,0.5,240,0.5416666666666666,0.5,18,26,50
5,0.5,240,0.5416666666666666,0.5,18,26,50
6,0.5,240,0.5416666666666666,0.5,18,30,50
2,0.75,240,0.5416666666666666,0.75,18,12,50
3,0.75,240,0.5416666666666666,0.75,18,17,50
4,0.75,240,0.5416666666666666,0.75,18,23,50
5,0.75,240,0.5416666666666666,0.75,18,20,50
6,0.75,240,0.5416666666666666,0.75,18,32,50
2,1,240,0.5416666666666666,1,18,10,50
3,1,240,0.5416666666666666,1,18,24,50
4,1,240,0.5416666666666666,1,18,27,50
5,1,240,0.5416666666666666,1,18,23,50
6,1,240,0.5416666666666666,1,18,35,50
2,0,270,0.5416666666666666,0,18,12,50
3,0,270,0.5416666666666666,0,18,13,50
4,0,270,0.5416666666666666,0,18,27,50
5,0,270,0.5416666666666666,0,18,30,50
6,0,270,0.5416666666666666,0,18,35,50
2,0.25,270,0.5416666666666666,0.25,18,12,50
3,0.25,270,0.5416666666666666,0.25,18,24,50
4,0.25,270,0.5416666666666666,0.25,18,23,50
5,0.25,270,0.5416666666666666,0.25,18,33,50
6,0.25,270,0.5416666666666666,0.25,18,34,50
2,0.5,270,0.5416666666666666,0.5,18,18,50
3,0.5,270,0.5416666666666666,0.5,18,14,50
4,0.5,270,0.5416666666666666,0.5,18,24,50
5,0.5,270,0.5416666666666666,0.5,18,26,50
6,0.5,270,0.5416666666666666,0.5,18,35,50
2,0.75,270,0.5416666666666666,0.75,18,8,50
3,0.75,270,0.5416666666666666,0.75,18,20,50
4,0.75,270,0.5416666666666666,0.75,18,26,50
5,0.75,270,0.5416666666666666,0.75,18,29,50
6,0.75,270,0.5416666666666666,0.75,18,36,50
2,1,270,0.5416666666666666,1,18,7,50
3,1,270,0.5416666666666666,1,18,18,50
4,1,270,0.5416666666666666,1,18,19,50
5,1,270,0.5416666666666666,1,18,25,50
6,1,270,0.5416666666666666,1,18,26,50
2,0,300,0.5416666666666666,0,18,9,50
3,0,300,0.5416666666666666,0,18,22,50
4,0,300,0.5416666666666666,0,18,25,50
5,0,300,0.5416666666666666,0,18,32,50
6,0,300,0.5416666666666666,0,18,35,50
2,0.25,300,0.5416666666666666,0.25,18,13,50
3,0.25,300,0.5416666666666666,0.25,18,15,50
4,0.25,300,0.5416666666666666,0.25,18,23,50
5,0.25,300,0.5416666666666666,0.25,18,29,50
6,0.25,300,0.5416666666666666,0.25,18,35,50
2,0.5,300,0.5416666666666666,0.5,18,15,50
3,0.5,300,0.5416666666666666,0.5,18,19,50
4,0.5,300,0.5416666666666666,0.5,18,19,50
5,0.5,300,0.5416666666666666,0.5,18,23,50
6,0.5,300,0.5416666666666666,0.5,18,29,50
2,0.75,300,0.5416666666666666,0.75,18,10,50
3,0.75,300,0.5416666666666666,0.75,18,19,50
4,0.75,300,0.5416666666666666,0.75,18,28,50
5,0.75,300,0.5416666666666666,0.75,18,27,50
6,0.75,300,0.5416666666666666,0.75,18,28,50
2,1,300,0.5416666666666666,1,18,12,50
3,1,300,0.5416666666666666,1,18,17,50
4,1,300,0.5416666666666666,1,18,20,50
5,1,300,0.5416666666666666,1,18,18,50
6,1,300,0.5416666666666666,1,18,28,50
2,0,330,0.5416666666666666,0,18,13,50
3,0,330,0.5416666666666666,0,18,18,50
4,0,330,0.5416666666666666,0,18,30,50
5,0,330,0.5416666666666666,0,18,28,50
6,0,330,0.5416666666666666,0,18,31,50
2,0.25,330,0.5416666666666666,0.25,18,7,50
3,0.25,330,0.5416666666666666,0.25,18,20,50
4,0.25,330,0.5416666666666666,0.25,18,17,50
5,0.25,330,0.5416666666666666,0.25,18,28,50
6,0.25,330,0.5416666666666666,0.25,18,26,50
2,0.5,330,0.5416666666666666,0.5,18,7,50
3,0.5,330,0.5416666666666666,0.5,18,19,50
4,0.5,330,0.5416666666666666,0.5,18,27,50
5,0.5,330,0.5416666666666666,0.5,18,26,50
6,0.5,330,0.5416666666666666,0.5,18,31,50
2,0.75,330,0.5416666666666666,0.75,18,8,50
3,0.75,330,0.5416666666666666,0.75,18,22,50
4,0.75,330,0.5416666666666666,0.75,18,25,50
5,0.75,330,0.5416666666666666,0.75,18,27,50
6,0.75,330,0.5416666666666666,0.75,18,30,50
2,1,330,0.5416666666666666,1,18,17,50
3,1,330,0.5416666666666666,1,18,21,50
4,1,330,0.5416666666666666,1,18,18,50
5,1,330,0.5416666666666666,1,18,31,50
6,1,330,0.5416666666666666,1,18,31,50
2,0,360,0.5416666666666666,0,18,8,50
3,0,360,0.5416666666666666,0,18,20,50
4,0,360,0.5416666666666666,0,18,25,50
5,0,360,0.5416666666666666,0,18,28,50
6,0,360,0.5416666666666666,0,18,34,50
2,0.25,360,0.5416666666666666,0.25,18,10,50
3,0.25,360,0.5416666666666666,0.25,18,21,50
4,0.25,360,0.5416666666666666,0.25,18,22,50
5,0.25,360,0.5416666666666666,0.25,18,35,50
6,0.25,360,0.5416666666666666,0.25,18,28,50
2,0.5,360,0.5416666666666666,0.5,18,14,50
3,0.5,360,0.5416666666666666,0.5,18,21,50
4,0.5,360,0.5416666666666666,0.5,18,25,50
5,0.5,360,0.5416666666666666,0.5,18,26,50
6,0.5,360,0.5416666666666666,0.5,18,31,50
2,0.75,360,0.5416666666666666,0.75,18,16,50
3,0.75,360,0.5416666666666666,0.75,18,19,50
4,0.75,360,0.5416666666666666,0.75,18,20,50
