virus,vaccine_timing,vaccine_coverage,group,emergences,trials
3,90,0.29166666666666663,30,3830,100000
4,90,0.29166666666666663,30,5872,100000
1,120,0.29166666666666663,30,1,100000
2,120,0.29166666666666663,30,6894,100000
3,120,0.29166666666666663,30,4154,100000
4,120,0.29166666666666663,30,6114,100000
1,150,0.29166666666666663,30,1,100000
2,150,0.29166666666666663,30,6905,100000
3,150,0.29166666666666663,30,4134,100000
4,150,0.29166666666666663,30,6052,100000
1,180,0.29166666666666663,30,1,100000
2,180,0.29166666666666663,30,6823,100000
3,180,0.29166666666666663,30,4119,100000
4,180,0.29166666666666663,30,6306,100000
1,210,0.29166666666666663,30,0,100000
2,210,0.29166666666666663,30,7034,100000
3,210,0.29166666666666663,30,4187,100000
4,210,0.29166666666666663,30,6207,100000
1,240,0.29166666666666663,30,5,100000
2,240,0.29166666666666663,31,6957,100000
3,240,0.29166666666666663,31,4325,100000
4,240,0.29166666666666663,31,6319,100000
1,270,0.29166666666666663,31,2,100000
2,270,0.29166666666666663,31,7034,100000
3,270,0.29166666666666663,31,4232,100000
4,270,0.29166666666666663,31,6327,100000
1,300,0.29166666666666663,31,4,100000
2,300,0.29166666666666663,31,7099,100000
3,300,0.29166666666666663,31,4181,100000
4,300,0.29166666666666663,31,6306,100000
1,330,0.29166666666666663,31,0,100000
2,330,0.29166666666666663,31,7073,100000
3,330,0.29166666666666663,31,4366,100000
4,330,0.29166666666666663,31,6335,100000
1,360,0.29166666666666663,31,2,100000
2,360,0.29166666666666663,31,7057,100000
3,360,0.29166666666666663,31,4277,100000
4,360,0.29166666666666663,31,6279,100000
1,-360,0.3333333333333333,31,5,100000
2,-360,0.3333333333333333,31,7062,100000
3,-360,0.3333333333333333,31,4325,100000
4,-360,0.3333333333333333,31,6377,100000
1,-330,0.3333333333333333,31,4,100000
2,-330,0.3333333333333333,31,7114,100000
3,-330,0.3333333333333333,31,4346,100000
4,-330,0.3333333333333333,32,6319,100000
1,-300,0.3333333333333333,32,1,100000
2,-300,0.3333333333333333,32,6945,100000
3,-300,0.3333333333333333,32,4286,100000
4,-300,0.3333333333333333,32,6314,100000
1,-270,0.3333333333333333,32,0,100000
2,-270,0.3333333333333333,32,6989,100000
3,-270,0.3333333333333333,32,4302,100000
4,-270,0.3333333333333333,32,6249,100000
1,-240,0.3333333333333333,32,3,100000
2,-240,0.3333333333333333,32,6857,100000
3,-240,0.3333333333333333,32,4264,100000
4,-240,0.3333333333333333,32,6262,100000
1,-210,0.3333333333333333,32,2,100000
2,-210,0.3333333333333333,32,6939,100000
3,-210,0.3333333333333333,32,4209,100000
4,-210,0.3333333333333333,32,6130,100000
1,-180,0.3333333333333333,32,2,100000
2,-180,0.3333333333333333,32,6662,100000
3,-180,0.3333333333333333,32,4078,100000
4,-180,0.3333333333333333,32,6185,100000
1,-150,0.3333333333333333,32,3,100000
2,-150,0.3333333333333333,32,6847,100000
3,-150,0.3333333333333333,32,4044,100000
4,-150,0.3333333333333333,32,5968,100000
1,-120,0.3333333333333333,32,3,100000
2,-120,0.3333333333333333,32,6532,100000
3,-120,0.3333333333333333,33,4007,100000
4,-120,0.3333333333333333,33,5930,100000
1,-90,0.3333333333333333,33,2,100000
2,-90,0.3333333333333333,33,6398,100000
3,-90,0.3333333333333333,33,4007,100000
4,-90,0.3333333333333333,33,5875,100000
1,-60,0.3333333333333333,33,2,100000
2,-60,0.3333333333333333,33,6156,100000
3,-60,0.3333333333333333,33,3686,100000
4,-60,0.3333333333333333,33,5657,100000
1,-30,0.3333333333333333,33,1,100000
2,-30,0.3333333333333333,33,5640,100000
3,-30,0.3333333333333333,33,3525,100000
4,-30,0.3333333333333333,33,5331,100000
1,0,0.3333333333333333,33,0,100000
2,0,0.3333333333333333,33,5817,100000
3,0,0.3333333333333333,33,3522,100000
4,0,0.3333333333333333,33,5402,100000
1,30,0.3333333333333333,33,2,100000
2,30,0.3333333333333333,33,6084,100000
3,30,0.3333333333333333,33,3730,100000
4,30,0.3333333333333333,33,5690,100000
1,60,0.3333333333333333,33,1,100000
2,60,0.3333333333333333,33,6361,100000
3,60,0.3333333333333333,33,3794,100000
