R0,natural_cross_immunity,vaccine_timing,vaccine_coverage,vaccine_cross_immunity,emergences,trials
2,0,-150,0.1666666666666666,0,5072,25000
2,0,-150,0.2083333333333333,0,5215,25000
2,0,-150,0.25,0,5128,25000
2,0,-150,0.2916666666666666,0,5124,25000
2,0,-150,0.3333333333333333,0,5312,25000
2,0,-150,0.375,0,5271,25000
2,0,-150,0.4166666666666666,0,5334,25000
2,0,-150,0.4583333333333333,0,5134,25000
2,0,-150,0.5,0,5295,25000
2,0,-150,0.5416666666666666,0,5290,25000
2,0,-150,0.5833333333333333,0,5259,25000
2,0,-150,0.625,0,5084,25000
2,0,-150,0.6666666666666666,0,5157,25000
2,0,-150,0.7083333333333333,0,5285,25000
2,0,-150,0.75,0,5100,25000
2,0,-150,0.7916666666666666,0,5240,25000
2,0,-150,0.8333333333333333,0,5217,25000
2,0,-150,0.875,0,5206,25000
2,0,-150,0.9166666666666666,0,5338,25000
2,0,-150,0.9583333333333331,0,5319,25000
2,0,-150,1,0,5295,25000
2,0,-120,0,0,5183,25000
2,0,-120,0.0416666666666666,0,5161,25000
2,0,-120,0.0833333333333333,0,5192,25000
2,0,-120,0.125,0,5206,25000
2,0,-120,0.1666666666666666,0,5274,25000
2,0,-120,0.2083333333333333,0,5078,25000
2,0,-120,0.25,0,5314,25000
2,0,-120,0.2916666666666666,0,5155,25000
2,0,-120,0.3333333333333333,0,5177,25000
2,0,-120,0.375,0,5216,25000
2,0,-120,0.4166666666666666,0,5212,25000
2,0,-120,0.4583333333333333,0,5269,25000
2,0,-120,0.5,0,5312,25000
2,0,-120,0.5416666666666666,0,5290,25000
2,0,-120,0.5833333333333333,0,5165,25000
2,0,-120,0.625,0,5163,25000
2,0,-120,0.6666666666666666,0,5163,25000
2,0,-120,0.7083333333333333,0,5224,25000
2,0,-120,0.75,0,5364,25000
2,0,-120,0.7916666666666666,0,5222,25000
2,0,-120,0.8333333333333333,0,5218,25000
2,0,-120,0.875,0,5281,25000
2,0,-120,0.9166666666666666,0,5178,25000
2,0,-120,0.9583333333333331,0,5265,25000
2,0,-120,1,0,5233,25000
2,0,-90,0,0,5218,25000
2,0,-90,0.0416666666666666,0,5039,25000
2,0,-90,0.0833333333333333,0,5107,25000
2,0,-90,0.125,0,5276,25000
2,0,-90,0.1666666666666666,0,5239,25000
2,0,-90,0.2083333333333333,0,5181,25000
2,0,-90,0.25,0,5119,25000
2,0,-90,0.2916666666666666,0,5288,25000
2,0,-90,0.3333333333333333,0,5194,25000
2,0,-90,0.375,0,5230,25000
2,0,-90,0.4166666666666666,0,5175,25000
2,0,-90,0.4583333333333333,0,5228,25000
2,0,-90,0.5,0,5127,25000
2,0,-90,0.5416666666666666,0,5372,25000
2,0,-90,0.5833333333333333,0,5201,25000
2,0,-90,0.625,0,5185,25000
2,0,-90,0.6666666666666666,0,5070,25000
2,0,-90,0.7083333333333333,0,5241,25000
2,0,-90,0.75,0,5188,25000
2,0,-90,0.7916666666666666,0,4992,25000
2,0,-90,0.8333333333333333,0,5110,25000
2,0,-90,0.875,0,5257,25000
2,0,-90,0.9166666666666666,0,5187,25000
2,0,-90,0.9583333333333331,0,5410,25000
2,0,-90,1,0,5124,25000
2,0,-60,0,0,5145,25000
2,0,-60,0.0416666666666666,0,5179,25000
2,0,-60,0.0833333333333333,0,5210,25000
2,0,-60,0.125,0,5181,25000
2,0,-60,0.1666666666666666,0,5206,25000
2,0,-60,0.2083333333333333,0,5225,25000
2,0,-60,0.25,0,5182,25000
2,0,-60,0.2916666666666666,0,5136,25000
2,0,-60,0.3333333333333333,0,5353,25000
2,0,-60,0.375,0,5209,25000
2,0,-60,0.4166666666666666,0,5210,25000
2,0,-60,0.4583333333333333,0,5204,25000
2,0,-60,0.5,0,5274,25000
2,0,-60,0.5416666666666666,0,5329,25000
2,0,-60,0.5833333333333333,0,5269,25000
2,0,-60,0.625,0,5200,25000
