R0_wuhan,recovery_wuhan,waning_wuhan,R0_alpha,recovery_alpha,waning_alpha,R0_delta,recovery_delta,waning_delta,R0_omicron,recovery_omicron,waning_omicron,weight
1.561407114260141,0.04921724093168669,0.006226695107839065,2.3625246633545873,0.4246347655795807,5.028960649023064e-4,2.700603645618786,0.1093003416244326,7.509129637705568e-4,3.8012242050421987,0.371390254576501,0.010631951861445443,0.0028270427559203624
1.5652158990406375,0.0517205571065194,0.0018679039424171783,2.3980548515004427,0.3754734687194264,8.530563388032674e-4,2.538977273995791,0.07097498203361735,0.004741974558238693,3.0901253369707504,0.3354725810684996,0.013240592261287376,0.0041334017366967315
1.5788384882893889,0.04926785910628186,0.001871517541157386,2.229848987198168,0.4064870755458396,1.2245936813333144e-4,2.669465825118039,0.0911296165918829,4.720948037482712e-4,3.658930879028053,0.4328058984378495,0.017395329731620245,0.004428965355529667
1.564217647612932,0.04828801036993283,2.3753832652140044e-4,2.2731722120314206,0.43191665370656446,0.001920336293702043,2.4952756197379844,0.08167622053803236,8.40316756410443e-4,3.1100173675695877,0.37346801500105,0.017038674124114275,0.003209748635902602
1.5946064562904103,0.0492625719596389,0.004710600137341407,2.113006252903286,0.32350815612683076,0.0013196704122192618,2.3913086630781906,0.0740548578286413,3.7794457725882295e-4,2.9601898644577647,0.4444248371678184,0.016272730019737357,0.0016106200887940902
1.5926768101050843,0.04946822309510908,0.006994214072863817,2.294004159530667,0.3690916679598632,1.1475472140984468e-4,2.7972537651378766,0.10850301328780436,0.0016657816361560916,3.5706838074596376,0.47779825365616063,0.018013635445093032,1.5713779340854913e-4
1.5828966593022218,0.04965660408252891,0.018575495190219865,2.3364073531015763,0.3764392331642191,1.1837098939764753e-4,2.769451254860327,0.09624717054439531,0.0027986449680259128,3.2151807086257604,0.33638052360768717,0.011725556770946466,0.0019443070117697951
1.5568996660442271,0.05218551589299213,2.969750723628344e-4,2.417668684372022,0.3751318789206656,2.5553513185172744e-4,2.5804634460463283,0.08137633134826498,0.004785645008383769,3.359372060322769,0.31756397835076233,0.012420105572058486,0.004255353364536474
1.6181687500560653,0.0474216069568977,4.4877119715090876e-4,2.1395914563799363,0.3678083137751849,5.577961964502377e-4,2.426567847919754,0.08193581427813426,0.007818559919036017,3.155705510470932,0.4025567692980831,0.015190812904136026,0.0018288781782923333
1.561407114260141,0.04921724093168669,0.0026061470600623176,2.3625246633545873,0.4246347655795807,3.102312181447143e-4,2.799657259750191,0.10263076170599587,0.0024125167119084896,3.38874673234389,0.3106185341206026,0.012375347757198958,0.004472980816535968
