R0,natural_cross_immunity,vaccine_timing,vaccine_coverage,vaccine_cross_immunity,group,emergences,trials
3,1,180,0.125,1,5,0,333
4,1,180,0.125,1,5,5,333
5,1,180,0.125,1,5,20,333
6,1,180,0.125,1,5,78,333
2,0,210,0.125,0,5,84,333
3,0,210,0.125,0,5,136,333
4,0,210,0.125,0,5,169,333
5,0,210,0.125,0,5,175,333
6,0,210,0.125,0,5,219,333
2,0.25,210,0.125,0.25,5,40,333
3,0.25,210,0.125,0.25,5,95,333
4,0.25,210,0.125,0.25,5,143,333
5,0.25,210,0.125,0.25,5,177,333
6,0.25,210,0.125,0.25,5,205,333
2,0.5,210,0.125,0.5,5,21,333
3,0.5,210,0.125,0.5,5,73,333
4,0.5,210,0.125,0.5,5,125,333
5,0.5,210,0.125,0.5,5,141,333
6,0.5,210,0.125,0.5,5,172,333
2,0.75,210,0.125,0.75,5,0,333
3,0.75,210,0.125,0.75,5,25,333
4,0.75,210,0.125,0.75,5,73,333
5,0.75,210,0.125,0.75,5,107,333
6,0.75,210,0.125,0.75,5,144,333
2,1,210,0.125,1,5,0,333
3,1,210,0.125,1,5,0,333
4,1,210,0.125,1,5,3,333
5,1,210,0.125,1,5,30,333
6,1,210,0.125,1,5,48,333
2,0,240,0.125,0,5,76,333
3,0,240,0.125,0,5,117,333
4,0,240,0.125,0,5,158,333
5,0,240,0.125,0,5,193,333
6,0,240,0.125,0,5,200,333
2,0.25,240,0.125,0.25,5,35,333
3,0.25,240,0.125,0.25,5,93,333
4,0.25,240,0.125,0.25,5,135,333
5,0.25,240,0.125,0.25,5,168,333
6,0.25,240,0.125,0.25,5,186,333
2,0.5,240,0.125,0.5,5,29,333
3,0.5,240,0.125,0.5,5,81,333
4,0.5,240,0.125,0.5,5,123,333
5,0.5,240,0.125,0.5,5,135,333
6,0.5,240,0.125,0.5,5,175,333
2,0.75,240,0.125,0.75,5,2,333
3,0.75,240,0.125,0.75,5,28,333
4,0.75,240,0.125,0.75,5,79,333
5,0.75,240,0.125,0.75,5,102,333
6,0.75,240,0.125,0.75,5,127,333
2,1,240,0.125,1,5,0,333
3,1,240,0.125,1,5,0,333
4,1,240,0.125,1,5,3,333
5,1,240,0.125,1,5,36,333
6,1,240,0.125,1,5,51,333
2,0,270,0.125,0,5,69,333
3,0,270,0.125,0,5,117,333
4,0,270,0.125,0,5,157,333
5,0,270,0.125,0,5,182,333
6,0,270,0.125,0,5,203,333
2,0.25,270,0.125,0.25,5,55,333
3,0.25,270,0.125,0.25,5,99,333
4,0.25,270,0.125,0.25,5,151,333
5,0.25,270,0.125,0.25,5,159,333
6,0.25,270,0.125,0.25,5,184,333
2,0.5,270,0.125,0.5,5,20,333
3,0.5,270,0.125,0.5,5,64,333
4,0.5,270,0.125,0.5,5,109,333
5,0.5,270,0.125,0.5,5,144,333
6,0.5,270,0.125,0.5,5,167,333
2,0.75,270,0.125,0.75,5,1,333
3,0.75,270,0.125,0.75,5,27,333
4,0.75,270,0.125,0.75,5,70,333
5,0.75,270,0.125,0.75,5,116,333
6,0.75,270,0.125,0.75,5,117,333
2,1,270,0.125,1,5,0,333
3,1,270,0.125,1,5,1,333
4,1,270,0.125,1,5,4,333
5,1,270,0.125,1,5,43,333
6,1,270,0.125,1,5,61,333
2,0,300,0.125,0,5,66,333
3,0,300,0.125,0,5,129,333
4,0,300,0.125,0,5,163,333
5,0,300,0.125,0,5,189,333
6,0,300,0.125,0,5,203,333
2,0.25,300,0.125,0.25,5,51,333
3,0.25,300,0.125,0.25,5,103,333
4,0.25,300,0.125,0.25,5,131,333
5,0.25,300,0.125,0.25,5,144,333
6,0.25,300,0.125,0.25,5,195,333
2,0.5,300,0.125,0.5,5,19,333
3,0.5,300,0.125,0.5,5,65,333
4,0.5,300,0.125,0.5,5,118,333
5,0.5,300,0.125,0.5,5,125,333
6,0.5,300,0.125,0.5,5,165,333
2,0.75,300,0.125,0.75,5,1,333
3,0.75,300,0.125,0.75,5,32,333
